Tema
Nociones básicas de algoritmos
Nociones básicas de análisis de algoritmos
Rol de los algoritmos en el cómputo
Complejidad temporal
Complejidad espacial
Notación asintótica Big O
Notación asintótica Theta (θ)
Notación asintótica Omega (Ω)
Notación asintótica o minúscula
Notación asintótica omega minúscula (ω)
Funciones de crecimiento asintótico
Análisis de mejor caso
Análisis de peor caso
Análisis de caso promedio
Divide y Vencerás
Problema del máximo subarreglo
Algoritmo de Strassen
Ecuaciones de recurrencia
Método de Sustitución
Método de Iteraciones
Teorema Maestro
Demostración del teorema Maestro
Programación Dinámica
Problema de corte de varilla
Multiplicación de cadena de matrices
Elementos de la programación dinámica
Características de programación dinámica
Aplicaciones de programación dinámica
Algoritmos Greedy (Voraces)
Problema de selección de actividades
Códigos de Huffman
Elementos de la estrategia avariciosa
Matroides y la estrategia avariciosa
Análisis probabilístico
Algoritmos aleatorizados
Análisis amortizado
Análisis agregado
Método contable
Método potencial
Tablas dinámicas
Complejidad algorítmica
Clases de complejidad
P versus NP
NP-Completitud
Problemas NP-Completos
Reducción de problemas
Estrategias para enfrentar problemas NP
Algoritmos de aproximación
Heurísticas
